LifeAct_Neuron	0.5000667379806684,0.00029115334167020764,0.5000076295109483,0.5123979552910658
PSD95_Neuron	0.5000103660479942,1.3660190428860013e-05,0.5000076295109483,0.5074845502403296
LifeAct_HEK	    0.5005690222618251,0.0018054092635144995,0.5000076295109483,0.5504844739452202
phalloidin	    0.500097435640865,0.00019251563223736094,0.5000076295109483,0.5152208743419546
CaMKII_Neuron	0.5000194781845252,6.772673446738584e-05,0.5000076295109483,0.5111772335393301
tubulin	        0.5001716821270851,0.00038682728999860354,0.5000076295109483,0.5137712672617685
Membrane_PC12	0.5000843632498739,0.00019273114902629076,0.5000076295109483,0.5062485694666972
Membrane_Neuron	0.5000553916252349,0.0001612757292543945,0.5000076295109483,0.5184100099183643
LifeAct_PC12	0.5001066803972714,0.00021944795667775858,0.5000076295109483,0.5186541542687114
Membrane_HEK	0.5007462248085389,0.002166892482499356,0.5000076295109483,0.5770351720454718
focus           0.02435375905295106,0.016359667425909372,0.0057939801897322479,0.9999847412109375
